# go_source_id	status	crystal_refs	notes
get.go::method::GetMarginChar	missing	TODO	baseline
get.go::method::GetMarginLeft	missing	TODO	baseline
get.go::method::GetMarginRight	missing	TODO	baseline
get.go::method::GetMarginTop	missing	TODO	baseline
get.go::method::GetMaxHeight	missing	TODO	baseline
get.go::method::GetMaxWidth	missing	TODO	baseline
get.go::method::GetPadding	missing	TODO	baseline
get.go::method::GetPaddingBottom	missing	TODO	baseline
get.go::method::GetPaddingChar	missing	TODO	baseline
get.go::method::GetPaddingLeft	missing	TODO	baseline
get.go::method::GetPaddingRight	missing	TODO	baseline
get.go::method::GetPaddingTop	missing	TODO	baseline
get.go::method::GetReverse	missing	TODO	baseline
get.go::method::GetStrikethrough	missing	TODO	baseline
get.go::method::GetStrikethroughSpaces	missing	TODO	baseline
get.go::method::GetTabWidth	missing	TODO	baseline
get.go::method::GetTransform	missing	TODO	baseline
get.go::method::GetUnderline	missing	TODO	baseline
get.go::method::GetUnderlineColor	missing	TODO	baseline
get.go::method::GetUnderlineSpaces	missing	TODO	baseline
get.go::method::GetUnderlineStyle	missing	TODO	baseline
get.go::method::GetVerticalBorderSize	missing	TODO	baseline
get.go::method::GetVerticalFrameSize	missing	TODO	baseline
get.go::method::GetVerticalMargins	missing	TODO	baseline
get.go::method::GetVerticalPadding	missing	TODO	baseline
get.go::method::GetWidth	missing	TODO	baseline
join.go::func::JoinHorizontal	missing	TODO	baseline
join.go::func::JoinVertical	missing	TODO	baseline
layer.go::func::NewCompositor	missing	TODO	baseline
layer.go::func::NewLayer	missing	TODO	baseline
layer.go::method::AddLayers	missing	TODO	baseline
layer.go::method::Bounds	missing	TODO	baseline
layer.go::method::Draw	missing	TODO	baseline
layer.go::method::Empty	missing	TODO	baseline
layer.go::method::GetContent	missing	TODO	baseline
layer.go::method::GetID	missing	TODO	baseline
layer.go::method::GetLayer	missing	TODO	baseline
layer.go::method::GetX	missing	TODO	baseline
layer.go::method::GetY	missing	TODO	baseline
layer.go::method::GetZ	missing	TODO	baseline
layer.go::method::Height	missing	TODO	baseline
layer.go::method::Hit	missing	TODO	baseline
layer.go::method::ID	missing	TODO	baseline
layer.go::method::Layer	missing	TODO	baseline
layer.go::method::MaxZ	missing	TODO	baseline
layer.go::method::Refresh	missing	TODO	baseline
layer.go::method::Render	missing	TODO	baseline
layer.go::method::Width	missing	TODO	baseline
layer.go::method::X	missing	TODO	baseline
layer.go::method::Y	missing	TODO	baseline
layer.go::method::Z	missing	TODO	baseline
layer.go::type::Compositor	missing	TODO	baseline
layer.go::type::Layer	missing	TODO	baseline
layer.go::type::LayerHit	missing	TODO	baseline
list/enumerator.go::func::Alphabet	missing	TODO	baseline
list/enumerator.go::func::Arabic	missing	TODO	baseline
list/enumerator.go::func::Asterisk	missing	TODO	baseline
list/enumerator.go::func::Bullet	missing	TODO	baseline
list/enumerator.go::func::Dash	missing	TODO	baseline
list/enumerator.go::func::Roman	missing	TODO	baseline
list/enumerator.go::type::Enumerator	missing	TODO	baseline
list/enumerator.go::type::Indenter	missing	TODO	baseline
list/list.go::func::New	missing	TODO	baseline
list/list.go::method::Enumerator	missing	TODO	baseline
list/list.go::method::EnumeratorStyle	missing	TODO	baseline
list/list.go::method::EnumeratorStyleFunc	missing	TODO	baseline
list/list.go::method::Hidden	missing	TODO	baseline
list/list.go::method::Hide	missing	TODO	baseline
list/list.go::method::Indenter	missing	TODO	baseline
list/list.go::method::IndenterStyle	missing	TODO	baseline
list/list.go::method::IndenterStyleFunc	missing	TODO	baseline
list/list.go::method::Item	missing	TODO	baseline
list/list.go::method::ItemStyle	missing	TODO	baseline
list/list.go::method::ItemStyleFunc	missing	TODO	baseline
list/list.go::method::Items	missing	TODO	baseline
list/list.go::method::Offset	missing	TODO	baseline
list/list.go::method::String	missing	TODO	baseline
list/list.go::method::Value	missing	TODO	baseline
list/list.go::type::Items	missing	TODO	baseline
list/list.go::type::List	missing	TODO	baseline
list/list.go::type::StyleFunc	missing	TODO	baseline
position.go::func::Place	missing	TODO	baseline
position.go::func::PlaceHorizontal	missing	TODO	baseline
position.go::func::PlaceVertical	missing	TODO	baseline
position.go::type::Position	missing	TODO	baseline
query.go::func::BackgroundColor	missing	TODO	baseline
query.go::func::HasDarkBackground	missing	TODO	baseline
ranges.go::func::NewRange	missing	TODO	baseline
ranges.go::func::StyleRanges	missing	TODO	baseline
ranges.go::type::Range	missing	TODO	baseline
runes.go::func::StyleRunes	missing	TODO	baseline
set.go::method::Align	missing	TODO	baseline
set.go::method::AlignHorizontal	missing	TODO	baseline
set.go::method::AlignVertical	missing	TODO	baseline
set.go::method::Background	missing	TODO	baseline
