# go_id	kind	status	crystal_refs	notes
get.go::method::Style.GetAlign	method	missing		auto-generated
get.go::method::Style.GetAlignHorizontal	method	missing		auto-generated
get.go::method::Style.GetAlignVertical	method	missing		auto-generated
get.go::method::Style.GetBackground	method	missing		auto-generated
get.go::method::Style.GetBlink	method	missing		auto-generated
get.go::method::Style.GetBold	method	missing		auto-generated
get.go::method::Style.GetBorder	method	missing		auto-generated
get.go::method::Style.GetBorderBottom	method	missing		auto-generated
get.go::method::Style.GetBorderBottomBackground	method	missing		auto-generated
get.go::method::Style.GetBorderBottomForeground	method	missing		auto-generated
get.go::method::Style.GetBorderBottomSize	method	missing		auto-generated
get.go::method::Style.GetBorderForegroundBlend	method	missing		auto-generated
get.go::method::Style.GetBorderForegroundBlendOffset	method	missing		auto-generated
get.go::method::Style.GetBorderLeft	method	missing		auto-generated
get.go::method::Style.GetBorderLeftBackground	method	missing		auto-generated
get.go::method::Style.GetBorderLeftForeground	method	missing		auto-generated
get.go::method::Style.GetBorderLeftSize	method	missing		auto-generated
get.go::method::Style.GetBorderRight	method	missing		auto-generated
get.go::method::Style.GetBorderRightBackground	method	missing		auto-generated
get.go::method::Style.GetBorderRightForeground	method	missing		auto-generated
get.go::method::Style.GetBorderRightSize	method	missing		auto-generated
get.go::method::Style.GetBorderStyle	method	missing		auto-generated
get.go::method::Style.GetBorderTop	method	missing		auto-generated
get.go::method::Style.GetBorderTopBackground	method	missing		auto-generated
get.go::method::Style.GetBorderTopForeground	method	missing		auto-generated
get.go::method::Style.GetBorderTopSize	method	missing		auto-generated
get.go::method::Style.GetBorderTopWidth	method	missing		auto-generated
get.go::method::Style.GetColorWhitespace	method	missing		auto-generated
get.go::method::Style.GetFaint	method	missing		auto-generated
get.go::method::Style.GetForeground	method	missing		auto-generated
get.go::method::Style.GetFrameSize	method	missing		auto-generated
get.go::method::Style.GetHeight	method	missing		auto-generated
get.go::method::Style.GetHorizontalBorderSize	method	missing		auto-generated
get.go::method::Style.GetHorizontalFrameSize	method	missing		auto-generated
get.go::method::Style.GetHorizontalMargins	method	missing		auto-generated
get.go::method::Style.GetHorizontalPadding	method	missing		auto-generated
get.go::method::Style.GetHyperlink	method	missing		auto-generated
get.go::method::Style.GetInline	method	missing		auto-generated
get.go::method::Style.GetItalic	method	missing		auto-generated
get.go::method::Style.GetMargin	method	missing		auto-generated
get.go::method::Style.GetMarginBottom	method	missing		auto-generated
get.go::method::Style.GetMarginChar	method	missing		auto-generated
get.go::method::Style.GetMarginLeft	method	missing		auto-generated
get.go::method::Style.GetMarginRight	method	missing		auto-generated
get.go::method::Style.GetMarginTop	method	missing		auto-generated
get.go::method::Style.GetMaxHeight	method	missing		auto-generated
get.go::method::Style.GetMaxWidth	method	missing		auto-generated
get.go::method::Style.GetPadding	method	missing		auto-generated
get.go::method::Style.GetPaddingBottom	method	missing		auto-generated
get.go::method::Style.GetPaddingChar	method	missing		auto-generated
get.go::method::Style.GetPaddingLeft	method	missing		auto-generated
get.go::method::Style.GetPaddingRight	method	missing		auto-generated
get.go::method::Style.GetPaddingTop	method	missing		auto-generated
get.go::method::Style.GetReverse	method	missing		auto-generated
get.go::method::Style.GetStrikethrough	method	missing		auto-generated
get.go::method::Style.GetStrikethroughSpaces	method	missing		auto-generated
get.go::method::Style.GetTabWidth	method	missing		auto-generated
get.go::method::Style.GetTransform	method	missing		auto-generated
get.go::method::Style.GetUnderline	method	missing		auto-generated
get.go::method::Style.GetUnderlineColor	method	missing		auto-generated
get.go::method::Style.GetUnderlineSpaces	method	missing		auto-generated
get.go::method::Style.GetUnderlineStyle	method	missing		auto-generated
get.go::method::Style.GetVerticalBorderSize	method	missing		auto-generated
get.go::method::Style.GetVerticalFrameSize	method	missing		auto-generated
get.go::method::Style.GetVerticalMargins	method	missing		auto-generated
get.go::method::Style.GetVerticalPadding	method	missing		auto-generated
get.go::method::Style.GetWidth	method	missing		auto-generated
join.go::func::JoinHorizontal	func	missing		auto-generated
join.go::func::JoinVertical	func	missing		auto-generated
join_test.go::test::TestJoinHorizontal	test	missing		auto-generated
join_test.go::test::TestJoinVertical	test	missing		auto-generated
layer.go::func::NewCompositor	func	missing		auto-generated
layer.go::func::NewLayer	func	missing		auto-generated
layer.go::method::Compositor.AddLayers	method	missing		auto-generated
layer.go::method::Compositor.Bounds	method	missing		auto-generated
layer.go::method::Compositor.Draw	method	missing		auto-generated
layer.go::method::Compositor.GetLayer	method	missing		auto-generated
layer.go::method::Compositor.Hit	method	missing		auto-generated
layer.go::method::Compositor.Refresh	method	missing		auto-generated
layer.go::method::Compositor.Render	method	missing		auto-generated
layer.go::method::Layer.AddLayers	method	missing		auto-generated
layer.go::method::Layer.Draw	method	missing		auto-generated
layer.go::method::Layer.GetContent	method	missing		auto-generated
layer.go::method::Layer.GetID	method	missing		auto-generated
layer.go::method::Layer.GetLayer	method	missing		auto-generated
layer.go::method::Layer.GetX	method	missing		auto-generated
layer.go::method::Layer.GetY	method	missing		auto-generated
layer.go::method::Layer.GetZ	method	missing		auto-generated
layer.go::method::Layer.Height	method	missing		auto-generated
layer.go::method::Layer.ID	method	missing		auto-generated
layer.go::method::Layer.MaxZ	method	missing		auto-generated
layer.go::method::Layer.Width	method	missing		auto-generated
layer.go::method::Layer.X	method	missing		auto-generated
layer.go::method::Layer.Y	method	missing		auto-generated
layer.go::method::Layer.Z	method	missing		auto-generated
layer.go::method::LayerHit.Bounds	method	missing		auto-generated
layer.go::method::LayerHit.Empty	method	missing		auto-generated
layer.go::method::LayerHit.ID	method	missing		auto-generated
layer.go::method::LayerHit.Layer	method	missing		auto-generated
layer.go::struct::Compositor	struct	missing		auto-generated
layer.go::struct::Layer	struct	missing		auto-generated
layer.go::struct::LayerHit	struct	missing		auto-generated
list/enumerator.go::func::Alphabet	func	missing		auto-generated
list/enumerator.go::func::Arabic	func	missing		auto-generated
list/enumerator.go::func::Asterisk	func	missing		auto-generated
list/enumerator.go::func::Bullet	func	missing		auto-generated
list/enumerator.go::func::Dash	func	missing		auto-generated
list/enumerator.go::func::Roman	func	missing		auto-generated
list/enumerator.go::type::Enumerator	type	missing		auto-generated
list/enumerator.go::type::Indenter	type	missing		auto-generated
list/list.go::func::New	func	missing		auto-generated
list/list.go::method::List.Enumerator	method	missing		auto-generated
list/list.go::method::List.EnumeratorStyle	method	missing		auto-generated
list/list.go::method::List.EnumeratorStyleFunc	method	missing		auto-generated
list/list.go::method::List.Hidden	method	missing		auto-generated
list/list.go::method::List.Hide	method	missing		auto-generated
list/list.go::method::List.Indenter	method	missing		auto-generated
list/list.go::method::List.IndenterStyle	method	missing		auto-generated
list/list.go::method::List.IndenterStyleFunc	method	missing		auto-generated
list/list.go::method::List.Item	method	missing		auto-generated
list/list.go::method::List.ItemStyle	method	missing		auto-generated
list/list.go::method::List.ItemStyleFunc	method	missing		auto-generated
list/list.go::method::List.Items	method	missing		auto-generated
list/list.go::method::List.Offset	method	missing		auto-generated
list/list.go::method::List.String	method	missing		auto-generated
list/list.go::method::List.Value	method	missing		auto-generated
list/list.go::struct::List	struct	missing		auto-generated
list/list.go::type::Items	type	missing		auto-generated
list/list.go::type::StyleFunc	type	missing		auto-generated
list/list_test.go::test::TestBullet	test	missing		auto-generated
list/list_test.go::test::TestComplexSublist	test	missing		auto-generated
list/list_test.go::test::TestEnumerators	test	missing		auto-generated
list/list_test.go::test::TestEnumeratorsAlign	test	missing		auto-generated
list/list_test.go::test::TestEnumeratorsTransform	test	missing		auto-generated
list/list_test.go::test::TestList	test	missing		auto-generated
list/list_test.go::test::TestListIntegers	test	missing		auto-generated
list/list_test.go::test::TestListItems	test	missing		auto-generated
list/list_test.go::test::TestMultiline	test	missing		auto-generated
list/list_test.go::test::TestSubListItems2	test	missing		auto-generated
list/list_test.go::test::TestSublist	test	missing		auto-generated
list/list_test.go::test::TestSublistItems	test	missing		auto-generated
position.go::const::Bottom	const	missing		auto-generated
position.go::const::Center	const	missing		auto-generated
position.go::const::Left	const	missing		auto-generated
position.go::const::Right	const	missing		auto-generated
position.go::const::Top	const	missing		auto-generated
position.go::func::Place	func	missing		auto-generated
position.go::func::PlaceHorizontal	func	missing		auto-generated
position.go::func::PlaceVertical	func	missing		auto-generated
position.go::type::Position	type	missing		auto-generated
query.go::func::BackgroundColor	func	missing		auto-generated
query.go::func::HasDarkBackground	func	missing		auto-generated
ranges.go::func::NewRange	func	missing		auto-generated
ranges.go::func::StyleRanges	func	missing		auto-generated
ranges.go::struct::Range	struct	missing		auto-generated
ranges_test.go::test::TestStyleRanges	test	missing		auto-generated
runes.go::func::StyleRunes	func	missing		auto-generated
runes_test.go::test::TestStyleRunes	test	missing		auto-generated
set.go::const::NoTabConversion	const	missing		auto-generated
set.go::method::Style.Align	method	missing		auto-generated
set.go::method::Style.AlignHorizontal	method	missing		auto-generated
set.go::method::Style.AlignVertical	method	missing		auto-generated
set.go::method::Style.Background	method	missing		auto-generated
set.go::method::Style.Blink	method	missing		auto-generated
set.go::method::Style.Bold	method	missing		auto-generated
set.go::method::Style.Border	method	missing		auto-generated
set.go::method::Style.BorderBackground	method	missing		auto-generated
set.go::method::Style.BorderBottom	method	missing		auto-generated
set.go::method::Style.BorderBottomBackground	method	missing		auto-generated
set.go::method::Style.BorderBottomForeground	method	missing		auto-generated
set.go::method::Style.BorderForeground	method	missing		auto-generated
set.go::method::Style.BorderForegroundBlend	method	missing		auto-generated
set.go::method::Style.BorderForegroundBlendOffset	method	missing		auto-generated
set.go::method::Style.BorderLeft	method	missing		auto-generated
set.go::method::Style.BorderLeftBackground	method	missing		auto-generated
set.go::method::Style.BorderLeftForeground	method	missing		auto-generated
set.go::method::Style.BorderRight	method	missing		auto-generated
set.go::method::Style.BorderRightBackground	method	missing		auto-generated
set.go::method::Style.BorderRightForeground	method	missing		auto-generated
set.go::method::Style.BorderStyle	method	missing		auto-generated
set.go::method::Style.BorderTop	method	missing		auto-generated
set.go::method::Style.BorderTopBackground	method	missing		auto-generated
set.go::method::Style.BorderTopForeground	method	missing		auto-generated
set.go::method::Style.ColorWhitespace	method	missing		auto-generated
set.go::method::Style.Faint	method	missing		auto-generated
set.go::method::Style.Foreground	method	missing		auto-generated
set.go::method::Style.Height	method	missing		auto-generated
set.go::method::Style.Hyperlink	method	missing		auto-generated
set.go::method::Style.Inline	method	missing		auto-generated
set.go::method::Style.Italic	method	missing		auto-generated
set.go::method::Style.Margin	method	missing		auto-generated
set.go::method::Style.MarginBackground	method	missing		auto-generated
set.go::method::Style.MarginBottom	method	missing		auto-generated
set.go::method::Style.MarginChar	method	missing		auto-generated
set.go::method::Style.MarginLeft	method	missing		auto-generated
set.go::method::Style.MarginRight	method	missing		auto-generated
set.go::method::Style.MarginTop	method	missing		auto-generated
set.go::method::Style.MaxHeight	method	missing		auto-generated
set.go::method::Style.MaxWidth	method	missing		auto-generated
set.go::method::Style.Padding	method	missing		auto-generated
set.go::method::Style.PaddingBottom	method	missing		auto-generated
set.go::method::Style.PaddingChar	method	missing		auto-generated
set.go::method::Style.PaddingLeft	method	missing		auto-generated
set.go::method::Style.PaddingRight	method	missing		auto-generated
set.go::method::Style.PaddingTop	method	missing		auto-generated
set.go::method::Style.Reverse	method	missing		auto-generated
set.go::method::Style.Strikethrough	method	missing		auto-generated
set.go::method::Style.StrikethroughSpaces	method	missing		auto-generated
set.go::method::Style.TabWidth	method	missing		auto-generated
set.go::method::Style.Transform	method	missing		auto-generated
set.go::method::Style.Underline	method	missing		auto-generated
set.go::method::Style.UnderlineColor	method	missing		auto-generated
set.go::method::Style.UnderlineSpaces	method	missing		auto-generated
set.go::method::Style.UnderlineStyle	method	missing		auto-generated
set.go::method::Style.Width	method	missing		auto-generated
size.go::func::Height	func	missing		auto-generated
size.go::func::Size	func	missing		auto-generated
size.go::func::Width	func	missing		auto-generated
style.go::const::NBSP	const	missing		auto-generated
style.go::const::UnderlineCurly	const	missing		auto-generated
style.go::const::UnderlineDashed	const	missing		auto-generated
style.go::const::UnderlineDotted	const	missing		auto-generated
