# go_id	kind	status	crystal_refs	notes
get.go::method::Style.GetUnderlineColor	method	missing		heuristic-filter
get.go::method::Style.GetUnderlineSpaces	method	missing		heuristic-filter
get.go::method::Style.GetUnderlineStyle	method	missing		heuristic-filter
get.go::method::Style.GetVerticalBorderSize	method	missing		heuristic-filter
get.go::method::Style.GetVerticalFrameSize	method	missing		heuristic-filter
get.go::method::Style.GetVerticalMargins	method	missing		heuristic-filter
get.go::method::Style.GetVerticalPadding	method	missing		heuristic-filter
get.go::method::Style.GetWidth	method	missing		heuristic-filter
join_test.go::test::TestJoinHorizontal	test	missing		heuristic-filter
join_test.go::test::TestJoinVertical	test	missing		heuristic-filter
layer.go::method::Layer.GetContent	method	missing		heuristic-filter
layer.go::method::Layer.GetID	method	missing		heuristic-filter
layer.go::method::Layer.GetX	method	missing		heuristic-filter
layer.go::method::Layer.GetY	method	missing		heuristic-filter
layer.go::method::Layer.GetZ	method	missing		heuristic-filter
list/enumerator.go::type::Enumerator	type	missing		heuristic-filter
list/enumerator.go::type::Indenter	type	missing		heuristic-filter
list/list.go::type::Items	type	missing		heuristic-filter
list/list.go::type::StyleFunc	type	missing		heuristic-filter
list/list_test.go::test::TestBullet	test	missing		heuristic-filter
list/list_test.go::test::TestComplexSublist	test	missing		heuristic-filter
list/list_test.go::test::TestEnumerators	test	missing		heuristic-filter
list/list_test.go::test::TestEnumeratorsAlign	test	missing		heuristic-filter
list/list_test.go::test::TestEnumeratorsTransform	test	missing		heuristic-filter
list/list_test.go::test::TestList	test	missing		heuristic-filter
list/list_test.go::test::TestListIntegers	test	missing		heuristic-filter
list/list_test.go::test::TestListItems	test	missing		heuristic-filter
list/list_test.go::test::TestMultiline	test	missing		heuristic-filter
list/list_test.go::test::TestSubListItems2	test	missing		heuristic-filter
list/list_test.go::test::TestSublist	test	missing		heuristic-filter
list/list_test.go::test::TestSublistItems	test	missing		heuristic-filter
ranges_test.go::test::TestStyleRanges	test	missing		heuristic-filter
runes_test.go::test::TestStyleRunes	test	missing		heuristic-filter
style.go::method::Style.SetString	method	missing		heuristic-filter
style.go::type::Underline	type	missing		heuristic-filter
style_test.go::test::TestCarriageReturnInRender	test	missing		heuristic-filter
style_test.go::test::TestCustomPaddingChar	test	missing		heuristic-filter
style_test.go::test::TestHeight	test	missing		heuristic-filter
style_test.go::test::TestHyperlink	test	missing		heuristic-filter
style_test.go::test::TestStrikethrough	test	missing		heuristic-filter
style_test.go::test::TestStringTransform	test	missing		heuristic-filter
style_test.go::test::TestStyleCopy	test	missing		heuristic-filter
style_test.go::test::TestStyleInherit	test	missing		heuristic-filter
style_test.go::test::TestStyleRender	test	missing		heuristic-filter
style_test.go::test::TestStyleUnset	test	missing		heuristic-filter
style_test.go::test::TestStyleValue	test	missing		heuristic-filter
style_test.go::test::TestTabConversion	test	missing		heuristic-filter
style_test.go::test::TestUnderline	test	missing		heuristic-filter
style_test.go::test::TestUnsetHyperlink	test	missing		heuristic-filter
style_test.go::test::TestValueCopy	test	missing		heuristic-filter
style_test.go::test::TestWidth	test	missing		heuristic-filter
